ResultIdentifier,ResultMeasureValue,UOM,Characteristic,CharacteristicURI,ActivityIdentifier,ActivityDateTime,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,Latitude,Longitude,SampleCollectionMethod,ResultSampleFractionText,ResultValueTypeName,ResultCommentText,DepthMeasure,ResultAnalyticalMethod,MethodName,LastUpdated
NWIS-103315196,1.83,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.01600040,2016-02-08T15:00:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-321929111070601,32.3247,-111.1183,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible positive-pressure pump,Dissolved,Actual,,,USGS:SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",
NWIS-103315117,0.02,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.01600039,2016-02-09T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-321840111055001,32.3111,-111.0972,,Dissolved,Actual,,,USGS:SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",
NWIS-47380127,0.04,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.00300179,2003-03-13T11:15:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-321658111082001,32.2828,-111.1389,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL037,"Nutrients, wf, salicylate color",
NWIS-47376340,3.65,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.00300099,2002-12-19T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320126112532901,32.0239,-112.8914,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL037,"Nutrients, wf, salicylate color",
NWIS-125119947,0.03,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.02300196,2023-02-03T15:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320126112532901,32.0239,-112.8914,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",
NWIS-125120500,0.04,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.02300198,2023-02-02T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320115112573001,32.0208,-112.9583,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,USGS:SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",
NWIS-125120222,16.8,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.02300197,2023-02-02T17:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315743113050201,31.9619,-113.0839,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,USGS:SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",
NWIS-47338963,0.01,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.00100329,2001-04-17T11:00:00-07:00,,Ariz. Dept. of Water Resources,USGS-315728110563901,31.9578,-110.9442,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL037,"Nutrients, wf, salicylate color",
NWIS-125120777,0.03,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.02300199,2023-02-03T13:00:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315232112475501,31.8756,-112.7986,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,USGS:SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",
NWIS-103315243,2.36,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.01600040,2016-02-08T15:00:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-321929111070601,32.3247,-111.1183,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible positive-pressure pump,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-103315163,0.029,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.01600039,2016-02-09T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-321840111055001,32.3111,-111.0972,,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-47380166,0.053,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.00300179,2003-03-13T11:15:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-321658111082001,32.2828,-111.1389,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-47376380,4.7,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.00300099,2002-12-19T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320126112532901,32.0239,-112.8914,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-125120162,0.043,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.02300196,2023-02-03T15:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320126112532901,32.0239,-112.8914,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-125120715,0.056,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.02300198,2023-02-02T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320115112573001,32.0208,-112.9583,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-125120437,21.7,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.02300197,2023-02-02T17:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315743113050201,31.9619,-113.0839,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-47338987,0.015,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.00100329,2001-04-17T11:00:00-07:00,,Ariz. Dept. of Water Resources,USGS-315728110563901,31.9578,-110.9442,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-125120992,0.044,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.02300199,2023-02-03T13:00:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315232112475501,31.8756,-112.7986,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
