DATAFLOW,FREQ,GEO_PICT,URBANIZATION,INDICATOR,SEX,AGE,FISHING_INSHORE,FISHING_NEARSHORE,FISHING_OFFSHORE,FISHING_OTHER_LOCATION,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_COMMENT,CONF_STATUS
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK,R,PERCENT,M,Y60T999,_T,NO,_T,YES,2015,1,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK,U,PERCENT,_T,Y25T59,_T,_T,NO,NO,2015,15,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK,U,N,F,Y25T59,NO,NO,_T,YES,2015,9,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,U,N,F,Y60T999,_T,_T,_T,_T,2015,11,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI,R,N,F,_T,YES,NO,NO,NO,2019,882,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,U,N,F,_T,YES,YES,_T,NO,2015,7,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK,R,N,_T,Y25T59,YES,NO,_T,_T,2015,50,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO,R,N,_T,Y15T24,NO,_T,_T,_T,2021,7,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,R,N,_T,_T,_T,NO,YES,NO,2015,103,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW,_T,N,M,Y60T999,NO,NO,NO,_T,2013,8,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TK,_T,N,F,Y25T59,YES,NO,_T,NO,2015,5,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI,_T,N,F,Y60T999,NO,NO,_T,_T,2019,35,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,_T,N,F,Y25T59,_T,NO,YES,NO,2015,14,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,_T,N,F,Y60T999,_T,NO,NO,_T,2015,18,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK,_T,N,F,Y60T999,_T,_T,_T,_T,2015,84,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,_T,N,M,_T,YES,YES,YES,YES,2015,12,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TK,_T,N,M,_T,YES,NO,YES,_T,2015,10,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,_T,N,F,_T,YES,YES,YES,_T,2015,3,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,NU,_T,N,F,_T,NO,YES,_T,YES,2015,6,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TK,_T,N,M,_T,NO,YES,_T,NO,2015,6,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,NU,_T,N,F,_T,_T,_T,NO,_T,2015,48,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TK,_T,N,_T,Y15T24,NO,YES,NO,_T,2015,2,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,NU,_T,N,_T,Y15T24,NO,NO,_T,_T,2015,3,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW,_T,N,_T,Y25T59,_T,_T,YES,_T,2013,189,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-A,U,N,F,Y60T999,YES,NO,NO,_T,2019,21,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-5,R,N,M,Y60T999,YES,NO,_T,NO,2019,8,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW-2,R,N,M,Y25T59,NO,_T,NO,YES,2013,10,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-B,R,N,M,Y15T24,YES,_T,_T,NO,2019,54,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-2,U,N,M,_T,YES,NO,NO,NO,2019,69,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-1,U,N,F,_T,NO,_T,_T,NO,2021,7,N,,,,,
